,created_at_date,Категория,count
0,2021-07-01,Календарь,187
1,2021-07-01,Клиент. Организация,1
2,2021-07-01,Сделка,133
3,2021-07-02,Календарь,61
4,2021-07-02,Парк техники,1
5,2021-07-02,Сделка,367
6,2021-07-05,Календарь,141
7,2021-07-05,Клиент. Организация,12
8,2021-07-05,Клиент. Сотрудник,12
9,2021-07-05,Парк техники,35
10,2021-07-05,Сделка,584
11,2021-07-06,Календарь,49
12,2021-07-06,Парк техники,1
13,2021-07-06,Сделка,101
14,2021-07-07,Календарь,21
15,2021-07-07,Парк техники,2
16,2021-07-07,Сделка,189
17,2021-07-08,Календарь,92
18,2021-07-08,Клиент. Организация,1
19,2021-07-08,Клиент. Сотрудник,2
20,2021-07-08,Сделка,171
21,2021-07-09,Календарь,9
22,2021-07-09,Клиент. Организация,4
23,2021-07-09,Клиент. Сотрудник,6
24,2021-07-09,Парк техники,7
25,2021-07-09,Сделка,109
26,2021-07-12,Календарь,222
27,2021-07-12,Клиент. Организация,7
28,2021-07-12,Клиент. Сотрудник,7
29,2021-07-12,Парк техники,9
30,2021-07-12,Сделка,330
31,2021-07-13,Календарь,29
32,2021-07-13,Клиент. Организация,2
33,2021-07-13,Парк техники,32
34,2021-07-13,Сделка,104
35,2021-07-14,Календарь,15
36,2021-07-14,Парк техники,1
37,2021-07-14,Сделка,43
38,2021-07-15,Календарь,5
39,2021-07-15,Парк техники,2
40,2021-07-15,Сделка,9
41,2021-07-16,Календарь,66
42,2021-07-16,Клиент. Организация,6
43,2021-07-16,Клиент. Сотрудник,9
44,2021-07-16,Парк техники,4
45,2021-07-16,Сделка,352
46,2021-07-17,Сделка,6
47,2021-07-19,Календарь,181
48,2021-07-19,Клиент. Организация,2
49,2021-07-19,Парк техники,6
50,2021-07-19,Сделка,478
51,2021-07-20,Календарь,38
52,2021-07-20,Клиент. Организация,5
53,2021-07-20,Клиент. Сотрудник,8
54,2021-07-20,Парк техники,11
55,2021-07-20,Сделка,196
56,2021-07-21,Календарь,34
57,2021-07-21,Клиент. Организация,8
58,2021-07-21,Клиент. Сотрудник,13
59,2021-07-21,Парк техники,6
60,2021-07-21,Сделка,135
61,2021-07-22,Календарь,31
62,2021-07-22,Клиент. Организация,41
63,2021-07-22,Клиент. Сотрудник,25
64,2021-07-22,Парк техники,12
65,2021-07-22,Сделка,421
66,2021-07-23,Календарь,57
67,2021-07-23,Клиент. Организация,25
68,2021-07-23,Клиент. Сотрудник,14
69,2021-07-23,Парк техники,16
70,2021-07-23,Сделка,166
71,2021-07-25,Календарь,27
72,2021-07-25,Клиент. Организация,5
73,2021-07-25,Клиент. Сотрудник,6
74,2021-07-25,Парк техники,3
75,2021-07-25,Сделка,14
76,2021-07-26,Календарь,251
